,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,nicosia,20,CY,1624721686,21,35.1667,33.3667,96.49,12.66
1,honiara,100,SB,1624721175,90,-9.4333,159.95,76.75,8.46
2,imbituba,76,BR,1624721687,70,-28.24,-48.6703,67.89,15.48
3,rikitea,1,PF,1624721687,76,-23.1203,-134.9692,73.76,7.4
4,zhigansk,99,RU,1624721687,81,66.7697,123.3711,61.59,9.06
5,chokurdakh,100,RU,1624721688,60,70.6333,147.9167,57.36,8.86
6,bethel,75,US,1624721688,75,41.3712,-73.414,82.35,1.01
7,mar del plata,75,ES,1624721688,81,43.4002,-4.0094,70.38,5.99
8,provideniya,100,RU,1624721689,88,64.3833,-173.3,43.32,11.74
9,yumen,4,CN,1624721689,21,40.2833,97.2,81.66,10.65
10,jamestown,20,US,1624721611,50,42.097,-79.2353,80.19,10.0
11,aransas pass,1,US,1624721689,71,28.1003,-96.9836,89.69,11.5
12,ushuaia,0,AR,1624721414,75,-54.8,-68.3,38.86,5.75
13,bluff,73,NZ,1624721690,92,-46.6,168.3333,43.81,7.78
14,alyangula,11,AU,1624721690,94,-13.8483,136.4192,64.27,0.0
15,saskylakh,74,RU,1624721691,58,71.9167,114.0833,46.09,7.09
16,baiyin,93,CN,1624721691,54,36.5583,104.2081,70.68,0.56
17,karpogory,92,RU,1624721691,44,64.0019,44.4451,77.07,4.38
18,kingaroy,90,AU,1624721691,87,-26.5333,151.8333,50.04,5.75
19,buraydah,0,SA,1624721692,6,26.326,43.975,109.85,5.08
20,bengkulu,69,ID,1624721117,88,-3.8004,102.2655,76.87,5.59
21,tongchuan,94,CN,1624721692,63,35.0806,109.0897,74.53,3.2
22,pulandian,72,CN,1624721693,88,39.3953,121.9669,71.73,10.98
23,norman wells,90,US,1624721114,94,35.2226,-97.4395,72.48,16.11
24,mahebourg,75,MU,1624721144,94,-20.4081,57.7,71.26,16.11
25,constitucion,0,CL,1624721693,52,-35.3333,-72.4167,50.54,11.74
26,viseu,50,PT,1624721525,30,40.661,-7.9097,77.86,9.98
27,hobart,75,AU,1624721694,91,-42.8794,147.3294,51.12,1.01
28,santiago del estero,75,CL,1624721656,76,-33.4569,-70.6483,53.17,3.44
29,kapuskasing,90,CA,1624721694,73,49.4169,-82.4331,75.29,5.75
30,moussoro,59,TD,1624721695,11,13.6408,16.4901,107.17,8.28
31,ribeira brava,75,ES,1624721695,68,42.7461,-8.4439,72.09,5.75
32,kavieng,91,PG,1624721695,77,-2.5744,150.7967,81.57,8.41
33,talnakh,99,RU,1624721696,60,69.4865,88.3972,47.53,17.49
34,tasiilaq,100,GL,1624721124,62,65.6145,-37.6368,48.36,3.58
35,victoria,96,HK,1624721696,90,22.2855,114.1577,86.38,1.01
36,mazatlan,75,MX,1624721683,84,23.2167,-106.4167,86.02,1.99
37,cidreira,100,BR,1624721697,94,-30.1811,-50.2056,60.96,12.97
38,lebu,11,CL,1624721113,76,-37.6167,-73.65,46.71,4.47
39,evensk,27,RU,1624721698,82,61.95,159.2333,53.76,0.69
40,florianopolis,75,BR,1624721609,79,-27.6146,-48.5012,70.56,6.91
41,ponta do sol,55,PT,1624721167,76,38.7333,-28.2667,65.08,14.34
42,punta arenas,70,PH,1624721166,90,8.9897,125.34,77.25,5.48
43,heilbronn,92,DE,1624721698,61,49.1403,9.22,79.9,6.78
44,shache,0,CN,1624721699,19,38.4167,77.2406,81.25,10.25
45,bredasdorp,33,ZA,1624721699,63,-34.5322,20.0403,58.32,16.11
46,sao joao da barra,100,IN,1624721200,67,20.5113,76.2129,80.26,9.84
47,sibolga,75,ID,1624721700,90,1.7427,98.7792,75.76,3.6
48,qaanaaq,22,GL,1624721115,71,77.484,-69.3632,40.37,2.71
49,longyearbyen,20,SJ,1624720906,81,78.2186,15.6401,42.64,5.75
50,mataura,100,NZ,1624721700,97,-46.1927,168.8643,43.48,3.74
51,sitka,90,US,1624721700,94,57.0531,-135.33,55.29,5.75
52,atuona,81,PF,1624721701,73,-9.8,-139.0333,79.05,19.66
53,mys shmidta,35,RU,1624721177,36,62.0589,48.6201,80.56,2.8
54,nuevo progreso,1,US,1624721702,60,33.8014,-117.1459,91.44,0.0
