,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,san rafael,5,ML,1623979523,44,13.3034,-4.8956,87.62,12.06
1,qaqortoq,21,GL,1623979524,71,60.7167,-46.0333,45.1,4.45
2,dubna,8,RU,1623979524,83,56.7333,37.1667,54.73,3.24
3,hermanus,69,ZA,1623979524,79,-34.4187,19.2345,54.9,3.06
4,richards bay,1,US,1623979524,36,46.8361,-95.9123,84.38,4.61
5,kaitangata,98,NZ,1623979525,61,-46.2817,169.8464,49.93,9.15
6,palmer,33,US,1623979356,71,42.1584,-72.3287,66.13,3.53
7,emerald,87,AU,1623979525,39,-23.5333,148.1667,67.33,17.27
8,nioki,71,CD,1623979525,73,-2.7167,17.6833,71.87,1.79
9,catuday,18,PH,1623979526,71,16.2923,119.8062,83.43,7.27
10,qaanaaq,5,GL,1623979526,74,77.484,-69.3632,33.21,4.52
11,fortuna,1,US,1623979526,67,40.5982,-124.1573,82.18,4.0
12,hilo,90,US,1623979415,81,19.7297,-155.09,78.53,10.36
13,miraflores,100,MX,1623979527,76,19.2167,-98.8083,65.05,4.92
14,sioux falls,40,US,1623979527,54,42.7333,-96.2336,87.46,9.22
15,butaritari,100,KI,1623979527,69,3.0707,172.7902,83.25,11.43
16,kahului,40,US,1623979527,59,20.8947,-156.47,86.02,19.57
17,yellowknife,20,CA,1623979528,45,62.456,-114.3525,64.92,9.22
18,jamestown,1,US,1623979254,55,42.097,-79.2353,64.36,5.75
19,rikitea,100,PF,1623979528,75,-23.1203,-134.9692,74.3,26.55
20,albany,9,US,1623979359,64,42.6001,-73.9662,66.85,7.07
21,ponta do sol,100,PT,1623979528,69,38.7333,-28.2667,59.92,7.16
22,port lincoln,80,CD,1623979529,55,-7.0349,29.7638,70.75,4.47
23,ushuaia,0,AR,1623979229,87,-54.8,-68.3,35.26,2.3
24,tuktoyaktuk,40,CA,1623979529,76,69.4541,-133.0374,46.4,9.22
25,zinder,89,NE,1623979529,37,13.8072,8.9881,85.23,8.01
26,yeppoon,54,AU,1623979530,33,-23.1333,150.7333,71.38,6.62
27,barrow,1,US,1623979530,67,71.2906,-156.7887,55.42,11.5
28,narsaq,15,GL,1623979530,73,60.9167,-46.05,44.82,5.44
29,hobart,75,AU,1623979531,91,-42.8794,147.3294,57.02,9.22
30,ahipara,100,NZ,1623979531,71,-35.1667,173.1667,62.76,9.33
31,gilgit,20,PK,1623979531,59,35.9221,74.3087,66.09,3.47
32,puerto ayora,75,ES,1623979532,84,36.5939,-6.233,68.25,6.91
33,raudeberg,100,NO,1623979532,80,61.9875,5.1352,51.19,9.73
34,kavaratti,77,IN,1623979532,78,10.5669,72.642,82.99,23.78
35,san juan,5,ML,1623979532,44,13.3034,-4.8956,87.62,12.06
36,havelock,100,US,1623979533,81,34.8791,-76.9013,77.23,6.04
37,dingle,21,PH,1623979533,73,10.9995,122.6711,85.05,4.36
38,punta arenas,100,PH,1623979533,68,8.9897,125.34,84.09,2.19
39,flinders,9,AU,1623979534,59,-34.5833,150.8552,64.38,10.0
40,samur,0,RU,1623979534,83,41.8253,48.486,71.2,9.62
41,castro,100,BR,1623979534,83,-24.7911,-50.0119,52.43,2.86
42,popondetta,1,PG,1623979535,56,-8.7537,148.2534,87.28,4.0
43,bluff,8,NZ,1623979535,69,-46.6,168.3333,46.8,17.9
44,tanout,43,NE,1623979535,33,14.9709,8.8879,85.91,8.14
45,hasaki,22,JP,1623979536,71,35.7333,140.8333,79.18,5.1
46,iqaluit,90,CA,1623979536,93,63.7506,-68.5145,33.53,13.0
47,cap malheureux,100,FR,1623979536,98,49.2718,-1.2104,61.48,2.24
48,coquimbo,75,CL,1623979536,93,-29.9533,-71.3436,53.33,5.75
49,luganville,74,VU,1623979537,74,-15.5333,167.1667,82.38,9.01
50,clyde river,0,US,1623979537,75,41.3042,-82.9752,77.41,8.79
51,mwinilunga,10,ZM,1623979537,54,-11.7358,24.4293,50.34,3.02
52,beringovskiy,19,RU,1623979538,75,63.05,179.3167,45.86,13.91
53,lebu,0,CL,1623979538,83,-37.6167,-73.65,50.92,2.21
54,monroe,1,US,1623979390,44,43.1501,-77.6831,64.06,8.05
55,souillac,25,MU,1623979538,82,-20.5167,57.5167,69.37,12.93
56,faya,84,SA,1623979539,37,18.3851,42.4509,68.11,2.44
57,dire dawa,89,ML,1623979539,72,12.2833,-10.9667,79.47,2.26
58,abu kamal,73,IN,1623979539,63,24.6,72.7,72.84,3.67
59,provideniya,75,RU,1623979539,76,64.3833,-173.3,44.71,6.71
60,yatou,100,CN,1623979540,58,37.15,122.3833,77.36,5.61
61,bethel,1,US,1623979540,62,41.3712,-73.414,68.31,3.44
62,port alfred,80,CD,1623979529,55,-7.0349,29.7638,70.75,4.47
63,camargo,24,MX,1623979540,18,27.6667,-105.1667,88.43,17.58
64,marau,13,BR,1623979541,96,-28.4492,-52.2,39.97,4.0
65,kapaa,75,US,1623979541,74,22.0752,-159.319,84.18,4.0
66,merauke,10,ID,1623979541,75,-8.4667,140.3333,81.45,13.2
67,lima,90,PE,1623979256,82,-12.0432,-77.0282,65.89,8.05
68,balkhash,0,KZ,1623979542,27,46.844,74.9804,75.81,11.18
69,tuatapere,3,NZ,1623979542,81,-46.1333,167.6833,46.81,4.76
70,murree,0,PK,1623979542,45,33.9073,73.393,59.25,7.25
71,avarua,75,CK,1623979542,78,-21.2078,-159.775,80.65,10.36
72,thompson,90,CA,1623979543,100,55.7435,-97.8558,44.76,10.36
73,bredasdorp,94,ZA,1623979543,93,-34.5322,20.0403,53.28,4.61
74,tiksi,66,RU,1623979543,59,71.6872,128.8694,56.39,3.74
75,busselton,15,AU,1623979544,75,-33.65,115.3333,45.05,10.92
76,torbay,75,CA,1623979544,86,47.6666,-52.7314,58.48,14.97
77,aanekoski,9,FI,1623979544,61,62.6946,25.818,55.85,8.63
78,tsiroanomandidy,73,MG,1623979545,77,-18.7667,46.0333,54.43,1.63
79,umaria,100,IN,1623979545,78,23.5333,80.8333,77.05,12.28
80,morondava,1,MG,1623979545,70,-20.2833,44.2833,68.09,9.08
81,weligama,46,LK,1623979545,88,5.9667,80.4167,78.13,8.95
82,san patricio,5,ML,1623979523,44,13.3034,-4.8956,87.62,12.06
83,nikolskoye,1,RU,1623979546,75,59.7035,30.7861,60.69,5.14
84,launceston,75,AU,1623979546,82,-41.45,147.1667,55.62,5.99
85,ribeira grande,90,ES,1623979546,94,42.7461,-8.4439,58.66,13.8
86,nantucket,1,US,1623979294,77,41.2835,-70.0995,66.02,5.75
87,mar del plata,90,ES,1623979547,98,43.4002,-4.0094,64.27,1.01
88,yining,100,CN,1623979548,97,29.0361,114.5636,78.01,0.67
89,san cristobal,5,ML,1623979272,44,13.3034,-4.8956,87.62,12.06
90,victoria,58,HK,1623979456,74,22.2855,114.1577,90.32,1.01
91,mataura,6,NZ,1623979548,78,-46.1927,168.8643,46.47,7.34
92,mosquera,75,CO,1623979301,82,4.7059,-74.2302,57.29,10.36
93,sibolga,98,ID,1623979549,78,1.7427,98.7792,78.64,1.19
94,port elizabeth,80,CD,1623979549,55,-7.0349,29.7638,70.75,4.47
95,khatanga,7,RU,1623979549,40,71.9667,102.5,74.34,12.03
96,nicoya,100,CR,1623979550,90,10.1483,-85.452,76.55,1.43
97,talnakh,100,RU,1623979550,93,69.4865,88.3972,56.21,9.66
98,cape town,1,CL,1623979550,75,-36.413,-71.9028,42.22,2.66
99,saldanha,0,ZA,1623979551,82,-33.0117,17.9442,50.05,7.65
100,bengkulu,59,ID,1623979551,78,-3.8004,102.2655,76.96,1.99
101,pevek,100,RU,1623979551,95,69.7008,170.3133,32.56,1.03
102,sao filipe,97,IN,1623979265,81,20.5113,76.2129,74.16,9.55
103,zelenoborsk,9,RU,1623979552,53,61.4669,64.0333,48.85,9.31
104,aksehir,0,TR,1623979552,81,38.3575,31.4164,56.41,1.86
105,banjar,100,ID,1623979552,83,-8.19,114.9675,82.26,1.7
106,gondanglegi,52,ID,1623979553,80,-7.7479,112.0132,80.33,6.06
107,bambous virieux,12,MU,1623979553,82,-20.2567,57.4061,68.14,9.98
108,contamana,84,PE,1623979388,70,-7.3333,-75.0167,77.07,1.5
109,codrington,21,AU,1623979553,79,-38.2667,141.9667,57.13,15.48
110,kyren,9,RU,1623979554,48,51.6828,102.1408,62.76,1.23
111,new norfolk,100,LR,1623979554,94,6.6518,-10.5932,74.07,1.57
112,shitanjing,83,CN,1623979554,25,39.2342,106.3439,67.69,4.52
113,atuona,26,PF,1623979555,79,-9.8,-139.0333,79.38,19.6
114,carnarvon,0,AU,1623979556,45,-24.8667,113.6333,55.47,12.66
115,nome,1,US,1623979556,55,64.5011,-165.4064,69.17,12.66
116,mehamn,74,NO,1623979557,83,71.0357,27.8492,42.08,14.12
117,lodja,100,CD,1623979558,38,-3.4833,23.4333,74.53,1.77
118,sabzevar,0,IR,1623979558,18,36.2126,57.6819,73.62,4.45
119,geraldton,0,AU,1623979558,71,-28.7667,114.6,55.81,18.41
120,comodoro rivadavia,72,BR,1623979559,60,-13.6631,-59.7858,71.89,4.7
121,dikson,100,RU,1623979559,90,73.5069,80.5464,31.93,7.29
122,saint-philippe,58,RE,1623979559,86,-21.3585,55.7679,69.39,12.48
123,vila velha,99,PT,1623979559,94,42.0304,-8.1588,51.33,5.79
124,longyearbyen,75,SJ,1623979560,65,78.2186,15.6401,39.04,12.66
125,hithadhoo,52,MV,1623979274,72,-0.6,73.0833,83.46,7.0
126,natal,75,BR,1623979366,94,-5.795,-35.2094,77.65,8.05
127,cayenne,0,GF,1623979560,90,4.9333,-52.3333,77.09,0.0
128,faanui,17,PF,1623979560,69,-16.4833,-151.75,80.15,17.72
129,sorong,15,ID,1623979561,75,-0.8833,131.25,82.02,6.96
130,ishigaki,75,JP,1623979561,84,24.3448,124.1572,87.93,5.75
131,arraial do cabo,1,BR,1623979561,96,-22.8362,-46.646,55.92,4.81
132,saint-georges,90,GD,1623979562,88,12.0564,-61.7485,74.88,5.75
133,biswan,100,IN,1623979562,86,27.5,81.0,79.02,9.31
134,uvinza,99,TZ,1623979562,60,-5.1036,30.3911,66.22,2.42
135,lavrentiya,100,RU,1623979563,87,65.5833,-171.0,43.18,7.74
136,fremont,1,US,1623979454,36,37.5483,-121.9886,109.04,3.0
137,chicama,87,PE,1623979563,81,-7.8447,-79.1469,64.94,5.73
138,ferrol,100,ES,1623979563,95,43.4832,-8.2369,57.72,14.25
139,acurenam,91,GQ,1623979564,99,1.0322,10.6488,65.71,2.39
140,qunduz,0,AF,1623979564,13,36.729,68.857,76.77,4.41
141,uddevalla,17,SE,1623979564,74,58.3478,11.9424,69.33,1.99
142,sakaiminato,75,JP,1623979564,100,35.55,133.2333,67.98,3.44
143,meulaboh,95,ID,1623979565,77,4.1363,96.1285,78.66,3.36
144,tessalit,0,ML,1623979565,12,20.1986,1.0114,90.97,6.15
145,thinadhoo,64,MV,1623979565,73,0.5333,72.9333,83.62,6.42
146,coruripe,42,BR,1623979566,75,-10.1256,-36.1756,74.97,10.09
147,rodos,0,GR,1623979566,72,36.4408,28.2225,72.79,8.01
148,oriximina,73,BR,1623979566,88,-1.7656,-55.8661,75.87,3.2
149,georgetown,20,MY,1623979524,84,5.4112,100.3354,82.33,1.01
150,manica,100,FR,1623979567,99,49.0,-1.1667,60.21,2.01
151,vaini,40,TO,1623979567,83,-21.2,-175.2,80.76,5.75
152,namibe,6,AO,1623979567,78,-15.1961,12.1522,64.85,5.57
153,harer,75,ET,1623979568,78,9.3094,42.1258,58.41,3.89
154,egvekinot,100,RU,1623979568,95,66.3167,-179.1667,35.08,7.67
155,mae chan,100,CN,1623979568,73,34.8244,108.9303,64.18,2.28
156,deputatskiy,100,RU,1623979568,46,69.3,139.9,64.71,7.2
157,grants,1,US,1623979569,12,35.1473,-107.8514,89.83,12.66
158,beaverlodge,100,CA,1623979569,67,55.2166,-119.4361,60.15,14.23
159,guerrero negro,100,MX,1623979569,90,17.6667,-100.0,70.38,4.5
160,megion,99,RU,1623979570,91,61.0296,76.1136,64.42,10.09
161,sabha,0,LY,1623979570,18,27.0377,14.4283,81.18,9.01
162,lorengau,22,PG,1623979570,64,-2.0226,147.2712,84.38,4.99
163,huamachuco,14,PE,1623979570,86,-7.8,-78.0667,47.5,3.49
164,narathiwat,100,TH,1623979571,82,6.3333,101.75,80.73,3.04
165,ibra,0,OM,1623979571,25,22.6906,58.5334,90.05,5.41
166,zhigansk,100,RU,1623979571,35,66.7697,123.3711,72.54,7.9
167,zeya,100,RU,1623979572,86,53.75,127.2667,65.21,10.65
168,sao felix do xingu,97,IN,1623979572,81,20.5113,76.2129,74.16,9.55
169,pisco,0,PE,1623979572,88,-13.7,-76.2167,64.45,12.66
170,santa maria,9,PH,1623979573,72,17.486,120.4348,85.39,6.06
171,auki,22,SB,1623979573,72,-8.7676,160.7034,83.89,7.67
172,katsuura,57,JP,1623979573,66,35.1333,140.3,79.23,3.38
173,fukue,75,JP,1623979573,100,32.6881,128.8419,73.76,14.97
174,norman wells,1,US,1623979574,51,35.2226,-97.4395,91.44,11.5
175,paita,6,PE,1623979574,80,-5.0892,-81.1144,69.48,15.99
176,cururupu,43,BR,1623979574,91,-1.8283,-44.8683,74.25,2.95
177,cidreira,27,BR,1623979575,82,-30.1811,-50.2056,53.91,5.84
178,tasiilaq,22,GL,1623979575,74,65.6145,-37.6368,37.56,4.92
179,nenjiang,31,CN,1623979575,59,49.1833,125.2167,66.56,7.52
180,mahebourg,51,MU,1623979575,78,-20.4081,57.7,69.26,14.18
181,kieta,18,PG,1623979576,62,-6.2167,155.6333,86.49,4.54
182,hendek,0,TR,1623979576,87,40.7994,30.7481,57.52,5.35
183,san ramon,5,ML,1623979523,44,13.3034,-4.8956,87.62,12.06
184,waycross,1,US,1623979576,67,31.2136,-82.354,82.65,9.22
185,chokurdakh,100,RU,1623979577,50,70.6333,147.9167,49.57,5.77
186,cachoeira do sul,5,BR,1623979577,90,-12.6183,-38.9558,67.35,4.03
187,esperance,0,AU,1623979577,70,-33.8667,121.9,55.24,10.71
188,buraydah,0,SA,1623979578,20,26.326,43.975,75.65,9.46
189,tarauaca,100,BR,1623979578,78,-8.1614,-70.7656,74.95,1.36
190,villa carlos paz,21,IT,1623979578,84,46.2039,10.1339,72.28,1.14
191,severo-kurilsk,72,RU,1623979579,90,50.6789,156.125,45.05,14.67
192,srednekolymsk,100,RU,1623979579,46,67.45,153.6833,62.65,15.86
193,aklavik,84,CA,1623979579,32,68.2191,-135.0107,70.52,7.61
194,saskylakh,6,RU,1623979580,29,71.9167,114.0833,78.15,12.77
195,luderitz,0,NA,1623979580,47,-26.6481,15.1594,62.73,6.87
196,puri,100,IN,1623979580,77,19.8,85.85,84.38,14.41
197,lake havasu city,20,US,1623979580,43,42.3334,-88.0006,87.24,5.01
198,constitucion,0,CL,1623979581,84,-35.3333,-72.4167,52.97,3.69
199,garissa,99,KE,1623979581,81,-0.4536,39.6401,73.08,14.27
200,vila franca do campo,99,PT,1623979581,94,42.0304,-8.1588,51.33,5.79
201,lipari,94,IT,1623979582,63,38.4674,14.954,74.53,2.53
202,brawley,90,US,1623979582,14,32.9787,-115.5303,121.48,4.61
203,carauari,93,BR,1623979582,98,-4.8828,-66.8958,72.63,1.74
204,north bend,100,FR,1623979582,99,50.3333,3.6667,68.81,8.99
205,vardo,63,NO,1623979583,74,70.3705,31.1107,43.88,10.42
206,tilichiki,100,RU,1623979583,83,60.4667,166.1,45.84,5.5
207,kavieng,28,PG,1623979583,69,-2.5744,150.7967,83.26,6.78
208,sahbuz,0,AZ,1623979584,67,39.4072,45.5739,73.0,7.61
209,poum,80,NC,1623979584,81,-20.2333,164.0167,75.29,7.76
210,bilibino,100,RU,1623979584,86,68.0546,166.4372,38.44,2.89
211,oksfjord,100,NO,1623979585,96,70.2396,22.3479,46.47,0.85
212,iwanai,100,JP,1623979585,63,42.9744,140.5089,72.1,5.39
213,fairbanks,90,US,1623979585,77,64.8378,-147.7164,63.23,3.0
214,sobolevo,67,RU,1623979586,89,54.4299,31.8996,55.24,3.94
215,slyudyanka,4,RU,1623979495,45,51.6594,103.7061,64.92,5.44
216,chuy,91,UY,1623979586,84,-33.6971,-53.4616,48.67,8.7
217,kerema,16,PG,1623979390,78,-7.9631,145.7785,81.75,6.33
218,mys shmidta,11,RU,1623979586,77,62.0589,48.6201,45.81,4.05
219,raga,100,SS,1623979516,93,8.4596,25.678,69.44,1.86
220,isangel,81,VU,1623979587,75,-19.55,169.2667,79.7,4.88
221,pacific grove,0,US,1623979587,81,38.482,-90.7415,91.22,5.7
222,paray-le-monial,0,FR,1623979587,82,46.4546,4.1158,64.35,1.14
223,atlantic city,1,US,1623979588,72,39.4668,-74.6663,68.86,3.44
224,upernavik,2,GL,1623979588,72,72.7868,-56.1549,34.93,6.76
225,chala,100,TZ,1623979588,65,-7.5833,31.2667,54.21,3.27
226,kruisfontein,0,ZA,1623979589,80,-34.0033,24.7314,56.88,13.89
227,evensk,100,RU,1623979589,74,61.95,159.2333,50.36,11.21
228,annapolis,1,US,1623979514,63,38.9785,-76.4922,71.6,0.0
229,correntina,94,BR,1623979589,42,-13.3433,-44.6367,72.68,3.4
230,shimizu,67,JP,1623979589,78,43.0061,142.8847,56.95,5.26
231,snasa,100,NO,1623979590,95,64.2457,12.3778,54.84,2.35
232,anito,94,PH,1623979590,68,12.4497,125.2886,85.77,4.16
233,shimoda,100,JP,1623979590,78,34.6667,138.95,74.1,4.56
234,beldanga,100,IN,1623979591,94,23.9333,88.25,75.83,8.32
235,jardim,100,BR,1623979591,75,-21.4803,-56.1381,59.11,6.17
236,westport,1,US,1623979591,55,41.1415,-73.3579,71.85,1.99
237,kapaya,18,PH,1623979593,76,6.5711,124.5631,83.86,1.86
238,marsa matruh,0,MT,1623979593,78,35.8792,14.4953,72.28,8.05
239,batticaloa,33,LK,1623979593,71,7.7102,81.6924,79.32,4.47
240,sao miguel do araguaia,97,IN,1623979594,81,20.5113,76.2129,74.16,9.55
241,ituverava,97,BR,1623979594,55,-20.3394,-47.7806,66.72,4.92
242,kodiak,90,US,1623979594,93,57.79,-152.4072,47.71,14.97
243,iringa,11,TZ,1623979594,87,-7.7667,35.7,48.78,5.84
244,boromo,15,BF,1623979595,51,11.75,-2.9333,85.82,8.39
245,siderno,6,IT,1623979595,60,38.2779,16.302,72.77,7.7
246,cao bang,100,ES,1623979595,96,43.1389,-5.698,59.09,1.05
247,oistins,20,BB,1623979350,65,13.0667,-59.5333,80.69,18.41
248,ravanusa,100,IT,1623979596,62,37.2667,13.969,69.55,4.23
249,kunming,75,CN,1623979596,83,25.0389,102.7183,67.93,15.66
250,camacari,63,BR,1623979596,73,-12.6975,-38.3242,76.77,6.46
251,kushiro,75,JP,1623979597,100,42.975,144.3747,49.15,5.75
252,east london,100,IS,1623979597,93,65.0,-15.0,35.35,2.55
253,klaksvik,100,FO,1623979597,89,62.2266,-6.589,43.72,12.17
254,gazipur,90,BD,1623979597,94,23.9981,90.423,78.76,11.5
255,havoysund,97,NO,1623979598,83,70.9963,24.6622,42.06,7.83
256,bushehr,0,IR,1623979598,48,28.9684,50.8385,86.09,16.11
